Countyfp,Geoid,Station Id,Intptlat,Intptlon,Station Name,NAME (DECENNIALPL2020.P2-Data.csv),Name1,Namelsad,Tractce,Aland,Awater,F1,Geometry,Lat1,Long1,Total Population,Total Hispanic or Latino,Percentage Hispanic or Latino,Total Not Hispanic or Latino,Percentage Not Hispanic or Latino,Total White,Percentage White,Total Black,Percentage Black,Total American Indian,Percentage American Indian,Total Asian,Percentage Asian,Total Hawaiian,Percentage Hawaiian
25,25025101102,245,42.2787956,-71.0920463,Blue Hill Ave at Almont St,"Census Tract 1011.02, Suffolk County, Massachusetts",1011.02,Census Tract 1011.02,101102,561192,0,235,Polygon,42.27454526,-71.09372016,4766,874,0.183382291,3656,0.767100294,59,0.012379354,3541,0.742971045,13,0.002727654,17,0.003566932,4,0.000839278
25,25025101102,248,42.2787956,-71.0920463,Morton St T,"Census Tract 1011.02, Suffolk County, Massachusetts",1011.02,Census Tract 1011.02,101102,561192,0,233,Polygon,42.28075383,-71.08621831,4766,874,0.183382291,3656,0.767100294,59,0.012379354,3541,0.742971045,13,0.002727654,17,0.003566932,4,0.000839278
25,25025101102,263,42.2787956,-71.0920463,Mattapan Library,"Census Tract 1011.02, Suffolk County, Massachusetts",1011.02,Census Tract 1011.02,101102,561192,0,229,Polygon,42.2773889,-71.09325,4766,874,0.183382291,3656,0.767100294,59,0.012379354,3541,0.742971045,13,0.002727654,17,0.003566932,4,0.000839278
25,25025101102,353,42.2787956,-71.0920463,Mattapan Library,"Census Tract 1011.02, Suffolk County, Massachusetts",1011.02,Census Tract 1011.02,101102,561192,0,299,Polygon,42.2773889,-71.09325,4766,874,0.183382291,3656,0.767100294,59,0.012379354,3541,0.742971045,13,0.002727654,17,0.003566932,4,0.000839278
25,25025101102,343,42.2787956,-71.0920463,Morton St T,"Census Tract 1011.02, Suffolk County, Massachusetts",1011.02,Census Tract 1011.02,101102,561192,0,293,Polygon,42.28072514,-71.08617242,4766,874,0.183382291,3656,0.767100294,59,0.012379354,3541,0.742971045,13,0.002727654,17,0.003566932,4,0.000839278
25,25025101102,340,42.2787956,-71.0920463,Blue Hill Ave at Almont St,"Census Tract 1011.02, Suffolk County, Massachusetts",1011.02,Census Tract 1011.02,101102,561192,0,292,Polygon,42.27462067,-71.09372553,4766,874,0.183382291,3656,0.767100294,59,0.012379354,3541,0.742971045,13,0.002727654,17,0.003566932,4,0.000839278
25,25025981202,136,42.3470233,-71.025781,ID Building West,"Census Tract 9812.02, Suffolk County, Massachusetts",9812.02,Census Tract 9812.02,981202,1696453,850180,111,Polygon,42.344796,-71.031614,6,2,0.333333333,2,0.333333333,1,0.166666667,0,0,0,0,0,0,0,0
25,25025981202,135,42.3470233,-71.025781,ID Building East,"Census Tract 9812.02, Suffolk County, Massachusetts",9812.02,Census Tract 9812.02,981202,1696453,850180,90,Polygon,42.344827,-71.028664,6,2,0.333333333,2,0.333333333,1,0.166666667,0,0,0,0,0,0,0,0
25,25025981202,481,42.3470233,-71.025781,645 Summer St,"Census Tract 9812.02, Suffolk County, Massachusetts",9812.02,Census Tract 9812.02,981202,1696453,850180,423,Polygon,42.34178089,-71.03987017,6,2,0.333333333,2,0.333333333,1,0.166666667,0,0,0,0,0,0,0,0
25,25025981700,120,42.3550969,-71.0657367,Charles St at Beacon St,"Census Tract 9817, Suffolk County, Massachusetts",9817,Census Tract 9817,981700,313765,14973,59,Polygon,42.356052,-71.069849,4,1,0.25,1,0.25,1,0.25,0,0,0,0,0,0,0,0
25,25025981700,42,42.3550969,-71.0657367,Boylston St. at Arlington St.,"Census Tract 9817, Suffolk County, Massachusetts",9817,Census Tract 9817,981700,313765,14973,49,Polygon,42.352033,-71.070627,4,1,0.25,1,0.25,1,0.25,0,0,0,0,0,0,0,0
25,25025981700,476,42.3550969,-71.0657367,Boylston St at Charles St,"Census Tract 9817, Suffolk County, Massachusetts",9817,Census Tract 9817,981700,313765,14973,413,Polygon,42.3525761,-71.06764405,4,1,0.25,1,0.25,1,0.25,0,0,0,0,0,0,0,0
25,25025981201,296,42.3289903,-71.0346023,Farragut Rd at E. 6th St,"Census Tract 9812.01, Suffolk County, Massachusetts",9812.01,Census Tract 9812.01,981201,799562,1327740,255,Polygon,42.3334,-71.02495,0,0,,0,,0,,0,,0,,0,,0,
25,25025981201,146,42.3289903,-71.0346023,Day Boulevard,"Census Tract 9812.01, Suffolk County, Massachusetts",9812.01,Census Tract 9812.01,981201,799562,1327740,157,Polygon,42.336448,-71.023739,0,0,,0,,0,,0,,0,,0,,0,
